doc,cq,covered,rows,required_vars,query_path
dsa_041.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_041.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_041.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_042.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_042.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_042.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_042.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_043.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_043.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_043.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_043.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_044.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_044.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_044.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_044.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_045.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_045.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_045.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_045.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_046.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_046.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_046.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_046.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_047.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_047.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_047.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_047.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_048.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_048.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_048.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_048.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_049.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_049.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_049.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_049.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
